Startup_ID,Industry,Founder_Experience,Team_Size,Funding_USD,Market_Size,AI_Adoption,Customer_Growth,Burn_Rate,Revenue,Investor_Support,Product_Innovation,Competition_Level,Success
ST001,FinTech,10,11,878004,Small,High,83,16,161909,Yes,9,Medium,1
ST002,E-commerce,1,7,959420,Small,High,53,18,514706,No,2,Low,0
ST003,SaaS,1,38,1277969,Small,Medium,50,16,473642,Yes,1,Medium,0
ST004,SaaS,9,37,1761541,Large,Low,87,33,226123,Yes,10,Medium,1
ST005,FinTech,1,15,1091056,Medium,Medium,87,78,906726,No,6,High,0
ST006,EdTech,7,7,1254653,Small,High,38,77,1048334,No,6,Medium,0
ST007,SaaS,5,23,368734,Medium,High,62,63,92223,No,2,Medium,0
ST008,E-commerce,14,6,1811540,Medium,High,11,44,1004256,Yes,2,High,0
ST009,FinTech,14,20,1552877,Small,High,49,54,57317,No,8,Low,0
ST010,FinTech,9,10,1598460,Medium,Medium,31,60,829880,Yes,8,Low,0
ST011,E-commerce,13,37,633891,Small,Low,90,63,762397,Yes,7,Low,0
ST012,SaaS,7,2,1067040,Large,Medium,75,33,561019,Yes,5,Low,1
ST013,EdTech,10,10,1498070,Medium,High,65,89,1383564,No,1,High,0
ST014,AI,3,32,1380201,Small,Low,51,17,409737,Yes,2,Medium,0
ST015,E-commerce,3,2,1238631,Large,Low,19,78,222786,Yes,6,Low,0
ST016,FinTech,8,24,1313071,Medium,Medium,46,70,267618,No,2,Medium,0
ST017,SaaS,3,23,1602629,Medium,High,33,71,1748235,Yes,3,Low,0
ST018,SaaS,0,35,675139,Small,Medium,82,21,1470030,No,5,Low,0
ST019,AI,10,16,1336032,Medium,High,24,40,1726168,Yes,7,Low,0
ST020,HealthTech,0,19,1040359,Medium,High,33,34,1462323,No,10,Medium,0
ST021,EdTech,2,16,264239,Large,High,29,70,422522,Yes,6,Medium,0
ST022,E-commerce,11,7,1800385,Large,Medium,84,25,824818,No,4,Low,1
ST023,FinTech,12,31,891769,Medium,High,10,30,366523,Yes,3,Low,0
ST024,FinTech,15,24,376972,Small,High,70,80,284693,Yes,1,High,0
ST025,SaaS,13,14,1782573,Large,Low,27,13,538135,No,4,High,0
ST026,SaaS,13,10,177726,Large,Low,45,68,1399310,No,10,High,0
ST027,SaaS,0,30,1678451,Large,Medium,23,87,18247,Yes,3,Low,0
ST028,AI,1,22,1480952,Small,Low,66,77,1174846,Yes,8,High,0
ST029,FinTech,3,34,998281,Large,High,71,13,1603821,No,2,Medium,0
ST030,AI,8,30,1115680,Medium,Low,68,71,1074832,No,4,High,0
ST031,FinTech,12,30,712657,Small,Medium,9,40,908291,Yes,2,High,0
ST032,FinTech,11,11,580805,Large,Low,17,69,470509,No,2,Medium,0
ST033,SaaS,13,34,896850,Medium,High,43,63,420506,No,6,Low,1
ST034,FinTech,14,30,1524615,Small,Low,2,59,705201,No,9,High,0
ST035,HealthTech,3,7,606928,Large,Medium,34,15,1643676,No,3,Low,0
ST036,AI,12,11,1175329,Large,Low,65,83,1047276,Yes,6,Medium,0
ST037,HealthTech,8,3,1380516,Small,Medium,11,43,185620,Yes,10,Low,0
ST038,HealthTech,13,19,1353806,Small,Medium,16,15,1115020,Yes,4,Low,0
ST039,AI,9,35,1642783,Small,Medium,26,47,944673,Yes,9,Medium,0
ST040,E-commerce,0,3,1587380,Small,Medium,64,80,407319,No,9,Low,0
ST041,FinTech,13,33,1194848,Large,Low,50,74,655467,Yes,4,Medium,0
ST042,EdTech,12,24,164061,Small,Low,16,11,158316,No,5,Low,0
ST043,HealthTech,9,40,557957,Medium,Medium,88,47,104869,Yes,8,Low,1
ST044,EdTech,10,37,728499,Medium,Low,31,14,659169,No,4,Low,0
ST045,AI,8,34,1425769,Small,Low,25,41,1068507,Yes,1,Medium,0
ST046,HealthTech,12,3,678403,Large,High,38,90,498237,Yes,2,High,0
ST047,SaaS,15,11,645961,Large,High,79,28,101830,No,9,High,0
ST048,EdTech,0,39,1723458,Medium,High,87,39,188450,Yes,1,Low,0
ST049,AI,14,37,156494,Small,Medium,80,12,1323292,Yes,9,Medium,1
ST050,E-commerce,2,35,188517,Small,High,60,42,1707054,No,2,Low,0
ST051,SaaS,14,33,1823207,Large,High,48,19,1014557,Yes,5,High,1
ST052,E-commerce,4,23,582551,Small,Medium,83,48,1312647,Yes,10,Low,0
ST053,SaaS,3,15,1467061,Medium,Medium,62,47,1496610,No,9,Medium,0
ST054,FinTech,6,21,230049,Medium,Medium,60,12,617311,Yes,8,High,1
ST055,AI,2,39,239379,Large,High,18,77,559053,Yes,6,High,0
ST056,E-commerce,11,16,1094146,Medium,High,62,60,62081,Yes,3,Medium,0
ST057,FinTech,4,28,771336,Medium,Medium,48,50,263565,Yes,6,Medium,0
ST058,HealthTech,0,20,581024,Medium,Medium,47,18,833969,Yes,7,Medium,0
ST059,HealthTech,3,5,1800442,Large,Medium,84,46,1341614,Yes,3,Medium,0
ST060,EdTech,13,3,1752808,Small,Low,80,61,1172143,Yes,9,High,1
ST061,HealthTech,14,10,1401594,Medium,Medium,36,72,112712,Yes,9,Low,0
ST062,FinTech,8,18,901882,Large,Low,83,40,640899,No,8,Low,1
ST063,FinTech,15,37,511426,Small,High,57,52,1602258,No,8,Low,0
ST064,E-commerce,10,37,241038,Medium,High,40,40,782392,Yes,5,Low,0
ST065,FinTech,6,26,616734,Large,High,43,17,1054687,No,5,Low,0
ST066,E-commerce,2,19,1930705,Small,Low,31,59,848351,No,8,Medium,0
ST067,FinTech,15,39,1077236,Small,Low,0,19,831079,No,9,Medium,0
ST068,FinTech,3,31,228265,Large,Low,70,15,12864,Yes,3,High,0
ST069,FinTech,8,35,1384399,Small,High,55,24,218550,No,2,High,0
ST070,AI,0,2,1177169,Small,High,38,68,594274,Yes,6,Medium,0
ST071,HealthTech,13,21,165990,Large,Low,2,34,1055032,Yes,7,Medium,0
ST072,HealthTech,7,33,121507,Small,Medium,89,53,1516451,No,7,High,1
ST073,HealthTech,2,15,1089549,Medium,Low,25,49,1616118,Yes,4,Medium,0
ST074,AI,3,33,1329468,Medium,Low,23,38,1027229,Yes,7,High,0
ST075,AI,4,28,158717,Large,Medium,90,17,396095,No,7,High,0
